文件名,简介（首行 Markdown）
checkUsage.ipynb,
CrossValidation.ipynb,# Facilitated Machine Learning Models for Karyotyping in the Patients with Chromosomal Abnormalities: Retrospective Study
CrossValidation_Chr_09_Binary.ipynb,# Facilitated Machine Learning Models for Karyotyping in the Patients with Chromosomal Abnormalities: Retrospective Study
CrossValidation_Chr_09_Binary_Backup_20210730.ipynb,# Facilitated Machine Learning Models for Karyotyping in the Patients with Chromosomal Abnormalities: Retrospective Study
CrossValidation_Chr_09_Binary_Original.ipynb,# Facilitated Machine Learning Models for Karyotyping in the Patients with Chromosomal Abnormalities: Retrospective Study
CrossValidation_Original.ipynb,# Facilitated Machine Learning Models for Karyotyping in the Patients with Chromosomal Abnormalities: Retrospective Study
Demographic.ipynb,# A Semi-automatic Classification of Normal Karyotypes using Convolutional Neural Network Algorithm
DemographicProgram.ipynb,# A Semi-automatic Classification of Normal Karyotypes using Convolutional Neural Network Algorithm
Demographic_Normal.ipynb,# A Semi-automatic Classification of Normal Karyotypes using Convolutional Neural Network Algorithm
Iterable_CrossValidation_Chr_09_Binary.ipynb,# Facilitated Machine Learning Models for Karyotyping in the Patients with Chromosomal Abnormalities: Retrospective Study
Iteration_Chr_09_Round_00.ipynb,# Facilitated Machine Learning Models for Karyotyping in the Patients with Chromosomal Abnormalities: Retrospective Study
KaryoChimneyRock_CNN_AllDataReadWrittenOriginally.ipynb,# A Semi-automatic Classification of Normal Karyotypes using Convolutional Neural Network Algorithm
KaryoChimneyRock_CNN_AllDataReadWrittenOriginally_GPU.ipynb,# A Semi-automatic Classification of Normal Karyotypes using Convolutional Neural Network Algorithm
KaryoChimneyRock_FromNumpy.ipynb,# A Semi-automatic Classification of Normal Karyotypes using Convolutional Neural Network Algorithm
KaryoChimneyRock_Merged_AllDataReadWrittenOriginally_GPU_ShowDetails _Demograph_shaffle.ipynb,# A Semi-automatic Classification of Normal Karyotypes using Convolutional Neural Network Algorithm
KaryoChimneyRock_Merged_AllDataReadWrittenOriginally_GPU_ShowDetails.ipynb,# A Semi-automatic Classification of Normal Karyotypes using Convolutional Neural Network Algorithm
KaryoChimneyRock_ToNumpy.ipynb,# A Semi-automatic Classification of Normal Karyotypes using Convolutional Neural Network Algorithm
Untitled.ipynb,
